date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:37	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2027%20Sep%202023%2010:07:35%20GMT	http://luisnascimento.com/robots.txt		(from )
12:07:41	94184/94184	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2010:07:36%20GMT	http://luisnascimento.com/	C:/My%20Web%20Sites/janacuadra/luisnascimento.com/index.html	(from )
12:07:41	29271/29271	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Apr%202021%2009:58:05%20GMT	http://luisnascimento.com/wp-includes/css/dist/block-library/style.min.css?ver=5.2.18	C:/My%20Web%20Sites/janacuadra/luisnascimento.com/wp-includes/css/dist/block-library/style.min8ded.css	(from http://luisnascimento.com/)
12:07:42	14729/14729	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Mar%202022%2022:07:25%20GMT	http://luisnascimento.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.3.0	C:/My%20Web%20Sites/janacuadra/luisnascimento.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylea1ec.css	(from http://luisnascimento.com/)
12:07:43	18042/18042	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Apr%202015%2019:00:19%20GMT	http://luisnascimento.com/wp-content/uploads/2015/04/favicon.jpg	C:/My%20Web%20Sites/janacuadra/luisnascimento.com/wp-content/uploads/2015/04/favicon.jpg	(from http://luisnascimento.com/)
12:07:43	1746/1746	---M--	200	added ('OK')	text/css	date:Sun,%2026%20Apr%202020%2012:10:33%20GMT	http://luisnascimento.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.7	C:/My%20Web%20Sites/janacuadra/luisnascimento.com/wp-content/plugins/contact-form-7/includes/css/styles6725.css	(from http://luisnascimento.com/)
12:07:43	16542/16542	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Mar%202022%2022:07:30%20GMT	http://luisnascimento.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.7.3	C:/My%20Web%20Sites/janacuadra/luisnascimento.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout1ac1.css	(from http://luisnascimento.com/)
12:07:43	6758/6758	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Mar%202022%2022:07:30%20GMT	http://luisnascimento.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.7.3	C:/My%20Web%20Sites/janacuadra/luisnascimento.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen1ac1.css	(from http://luisnascimento.com/)
12:07:44	62639/62639	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Mar%202022%2022:07:25%20GMT	http://luisnascimento.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.7.3	C:/My%20Web%20Sites/janacuadra/luisnascimento.com/wp-content/plugins/woocommerce/assets/css/woocommerce1ac1.css	(from http://luisnascimento.com/)
12:07:45	11232/11232	---M--	200	added ('OK')	text/css	date:Thu,%2022%20Aug%202019%2019:56:27%20GMT	http://luisnascimento.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.6-78496d1	C:/My%20Web%20Sites/janacuadra/luisnascimento.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min45a0.css	(from http://luisnascimento.com/)
12:07:45	4163/4163	---M--	200	added ('OK')	text/css	date:Thu,%2022%20Aug%202019%2019:56:27%20GMT	http://luisnascimento.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=5.2.18	C:/My%20Web%20Sites/janacuadra/luisnascimento.com/wp-includes/js/mediaelement/wp-mediaelement.min8ded.css	(from http://luisnascimento.com/)
12:07:45	2924/2924	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Feb%202015%2017:37:38%20GMT	http://luisnascimento.com/wp-content/themes/salient/css/rgs.css?ver=5.5.4	C:/My%20Web%20Sites/janacuadra/luisnascimento.com/wp-content/themes/salient/css/rgs7e15.css	(from http://luisnascimento.com/)
12:07:45	43511/43511	---M--	200	added ('OK')	text/css	date:Sun,%2014%20Dec%202014%2014:56:04%20GMT	http://luisnascimento.com/wp-content/themes/salient/css/font-awesome.min.css?ver=5.2.18	C:/My%20Web%20Sites/janacuadra/luisnascimento.com/wp-content/themes/salient/css/font-awesome.min8ded.css	(from http://luisnascimento.com/)
